id,age,gender,height,weight,eduation,job_current
338,18943,1,161,85,2,13
340,14684,2,172,73,2,5
341,21681,1,160,63,2,4
342,21727,2,158,53,4,10
343,18220,1,142,61,1,8
344,17679,2,160,89,1,4
345,19089,1,159,79,1,1
346,21127,1,175,70,3,14
347,23250,1,156,93,2,3
350,14543,1,168,69,3,27
351,22141,1,172,87,2,21
352,21751,1,158,78,4,28
354,21363,1,170,90,3,29
355,22764,1,161,72,3,17
356,18772,1,165,100,2,17
357,18217,1,150,83,3,14
358,21059,1,154,98,2,6
359,21897,1,160,55,2,7
360,19788,1,165,80,1,24
361,21896,1,154,54,4,13
362,20225,1,150,67,2,27
363,20285,1,153,49,3,28
366,17460,1,165,115,2,29
369,19715,1,160,89,1,13
371,22031,2,170,69,3,2
372,16117,2,168,84,3,1
373,16468,1,149,50,4,17
374,22585,1,166,58,2,18
375,16003,1,162,74,3,6
376,19216,2,178,78,1,3
377,19644,1,157,80,2,26
378,23372,1,169,68,1,2
379,22068,1,169,70,1,6
380,15229,1,150,55,3,11
382,21711,2,159,85,3,10
383,20383,1,152,72,2,5
384,20509,1,160,76,3,17
385,18784,1,159,95,1,28
386,21833,2,176,82,4,30
388,21274,1,155,65,4,10
389,20705,2,163,68,3,2
390,22510,2,170,115,2,6
391,20311,1,159,101,3,23
396,21974,1,163,65,1,24
398,21257,1,149,56,1,20
399,18936,1,154,,2,11
400,20310,1,159,79,4,5
402,21233,1,157,,3,10
403,21187,1,152,54,1,24
404,18067,1,158,56,4,15
408,16646,2,170,76,1,13
409,20948,2,169,76,1,5
410,22415,2,173,70,4,1
412,18189,1,160,70,3,26
413,23357,2,173,85,4,30
414,19074,2,167,72,2,8
415,21809,1,178,80,2,28
416,23335,2,160,52,3,3
417,18291,2,171,74,3,26
420,17426,2,185,105,1,23
422,23613,2,181,99,2,5
423,22577,1,157,100,3,20
426,17512,2,160,60,4,27
427,17976,1,166,78,2,28
428,19470,1,162,87,1,16
431,17622,1,166,105,3,18
432,16596,1,169,69,3,2
434,14683,1,161,75,2,3
438,21197,2,167,92,1,13
440,21245,1,165,65,3,17
441,20593,1,156,50,3,5
442,19070,1,158,73,1,12
443,21411,1,170,68,4,9
446,19766,2,170,101,2,4
447,19532,1,164,80,3,23
449,18341,1,159,51,1,13
450,14421,1,165,62,4,13
451,18391,1,170,65,3,14
452,18293,1,165,90,1,18
453,16711,2,172,86,3,20
454,19767,1,167,74,3,29
455,19004,2,174,63,4,15
456,22583,2,170,65.5,3,21
457,20649,1,154,78,1,24
458,23407,1,176,63,1,21
459,16299,2,160,58,2,30
461,16069,2,160,85,1,25
464,21168,2,160,68,1,23
465,20595,1,160,60,2,18
466,15222,2,169,86,3,1
467,20531,1,162,57,1,20
469,21417,1,173,99,3,20
473,20597,1,160,70,1,30
474,21078,1,157,142,3,16
475,22007,1,159,97,4,2
476,14767,1,170,68,1,28
477,21234,2,182,91,4,14
478,17021,1,165,70,3,18
480,19780,1,172,104,3,4
481,15186,1,170,81,4,13
482,18704,1,154,81,3,6
483,18115,2,175,89,4,2
484,20398,2,173,86,1,10
485,21776,2,174,84,2,4
486,22742,1,154,75,1,9
487,16778,1,175,80,4,18
488,23392,1,153,69,4,30
490,15253,2,175,85,3,7
491,16021,1,156,60,1,17
492,20235,2,169,70,3,25
493,23094,1,158,73,4,23
494,22655,2,166,78,3,10
495,21862,1,163,69,4,16
500,20585,1,165,65,2,22
502,18731,2,173,96,4,20
506,19803,1,144,44,4,18
508,23282,2,170,84,1,9
510,16209,2,168,72,2,4
511,23444,1,175,76,1,23
513,18996,1,167,69,1,6
514,19047,2,169,87,1,21
518,18458,1,166,71,3,2
519,22641,1,160,83,4,15
520,14631,2,166,90,3,23
521,19574,1,160,58,3,6
522,19758,1,160,74,3,30
524,16664,2,173,93,3,12
525,15215,2,172,71,3,20
526,19834,1,158,68,4,20
527,17740,1,158,74,3,30
528,15383,2,170,69,2,2
531,16845,2,160,60,3,24
533,22705,1,158,84,2,11
537,16320,2,168,75,2,29
538,19038,1,163,67,4,9
539,19549,1,152,60,3,29
540,21760,1,164,55,3,14
542,19590,1,148,61,3,30
543,19517,1,147,41,1,15
545,22531,2,164,81,1,12
546,15912,2,171,74,1,6
548,23529,1,167,78,4,7
550,21085,1,162,,1,5
551,20943,2,158,52,2,29
552,16718,2,165,169,4,24
553,16772,1,170,116,4,8
555,18178,1,144,59,2,29
558,21151,2,175,65,4,5
559,18282,1,163,108,3,29
562,16939,1,162,89,1,10
563,23661,2,160,78,1,18
564,22493,1,164,75,3,12
565,21257,1,164,86,2,3
566,14492,1,163,82,4,5
567,22148,1,156,68,3,9
568,18188,1,150,62,3,9
569,18397,1,175,75,1,10
572,15136,1,164,75,3,24
573,21203,1,156,88,2,1
574,23451,1,158,71,3,23
577,19122,1,157,94,1,20
580,20004,1,155,69,2,27
581,23262,2,162,70,4,12
582,18350,1,168,70,2,17
583,18135,1,163,75,4,17
584,21742,1,163,70,4,25
585,20295,1,164,50,2,21
586,21788,1,153,77,1,5
587,22906,1,156,,3,3
589,21281,1,156,95,2,9
591,21952,2,170,,4,25
592,21364,1,161,72,4,5
593,17300,1,158,70,4,1
594,16658,1,157,72,1,21
596,20248,1,164,86,3,11
599,20314,1,160,73,2,25
600,22691,1,159,86,4,7
602,19789,1,162,93,3,14
604,21894,1,157,86,3,15
605,23203,1,165,64,4,7
606,22577,2,182,91,2,18
608,17505,1,158,80,2,3
609,21726,1,160,55,4,2
610,16667,1,158,53,1,18
611,18187,1,156,,3,1
612,20608,1,165,69,3,2
613,17432,2,164,78,3,28
614,17425,1,165,47,3,18
615,23324,1,160,62,3,14
616,18106,2,176,95,2,28
618,16765,1,186,200,2,11
620,19011,1,158,65,1,14
622,20954,2,180,84,3,2
623,21865,1,156,82,3,24
625,20255,2,179,64.8,1,11
627,19046,1,163,58,1,26
628,22620,1,147,66,4,7
630,18978,2,175,86,4,4
631,17423,1,162,84,4,8
632,16657,1,167,74,1,24
633,21856,2,177,80,4,16
634,21237,2,178,120,1,11
638,19589,1,156,60,3,27
641,19011,1,160,73,3,29
647,18230,1,171,74,3,30
649,20057,1,162,70,4,9
650,14895,1,169,65,2,16
651,21163,2,167,61,2,23
652,22630,2,180,100,2,14
653,19474,1,152,68,4,9
655,19863,1,152,50,1,18
656,21901,1,160,54,3,13
657,16115,2,159,74,4,22
658,18273,2,176,,2,26
659,19093,1,160,70,2,9
660,18353,2,157,63,3,28
661,19782,2,156,52,2,8
662,21993,2,175,92,4,21
663,20286,1,156,64,2,25
664,15192,1,166,98,3,5
665,20631,1,162,85,1,8
667,20412,2,175,57,1,22
669,20302,1,172,78,3,1
670,18107,1,170,68,3,27
672,21907,1,160,70,4,18
677,16864,2,165,75,2,20
678,18032,1,164,54,2,30
679,14610,2,171,88,1,6
680,15226,1,150,95,2,21
681,19099,1,156,65,3,13
682,19649,1,165,68,4,13
683,18825,2,164,68,4,10
684,19756,1,152,60,3,25
686,19136,1,165,92,1,8
688,19115,1,170,101,1,16
689,21966,1,159,101,2,24
691,19589,1,158,86,1,20
692,14681,1,174,84,2,23
693,18983,1,164,73,3,18
694,19066,1,160,75,2,25
695,16091,1,172,52,4,12
696,21939,2,160,85,1,24
697,15975,1,158,69,1,15
699,16822,1,147,61,3,7
700,21681,2,167,73,4,19
701,18056,1,170,90,4,14
704,18958,1,149,62,1,4
705,19801,1,168,,2,27
706,20571,1,159,68,1,22
708,22464,1,161,62,3,25
711,21791,1,150,88,2,27
712,17381,1,151,117,4,18
713,20449,1,151,,2,10
714,21197,1,162,60,3,24
716,21985,1,168,65,4,11
718,20463,1,166,69,2,14
720,22616,2,168,69,1,22
721,18387,1,148,59,4,7
722,14549,2,182,,2,17
723,16987,2,170,74,2,3
724,20389,1,158,60,1,5
725,22505,2,162,73,1,9
728,16822,1,165,64,1,2
732,22737,1,166,76,3,1
733,19740,2,173,74,2,8
734,21179,1,162,70,1,9
736,22061,1,169,62,2,17
737,21013,2,164,62,1,2
738,19632,1,167,90,1,11
739,16943,2,169,75,3,19
740,21016,1,162,84,2,27
741,21161,2,170,65,1,6
744,15214,1,159,104,1,9
745,19924,1,167,70,4,14
748,19005,2,176,90,4,11
749,21398,1,170,88,2,6
750,15991,1,156,60,1,21
751,19484,2,170,70,1,7
752,15922,1,158,76,3,7
754,22023,1,148,50,4,24
755,14365,1,170,67,3,3
756,21239,1,165,69,2,11
759,21025,1,162,78,2,21
760,21863,1,152,,4,22
761,20647,2,171,78,2,13
764,19436,2,165,68,2,7
765,19731,1,164,85,3,17
766,16729,1,169,73,3,3
767,21090,1,147,64,1,12
768,18163,1,159,62,3,18
769,20369,2,161,83,3,23
770,15337,1,160,52,2,10
771,19650,1,164,85,1,4
772,18021,1,165,67,3,29
773,15447,1,171,75,4,21
774,19460,1,170,76,2,6
775,23307,1,164,80,4,29
776,18980,2,178,85,3,3
777,23334,1,147,110,1,29
778,22781,1,167,100,1,9
779,21159,2,160,55,3,13
781,18015,2,171,98,3,16
783,19481,1,156,72,1,16
784,23291,1,167,87,3,15
786,17580,1,168,79,2,23
789,19908,1,147,60,4,13
791,19834,2,175,70,1,3
792,20705,1,159,55,1,28
796,14480,1,165,74,3,2
797,23578,1,157,69,2,15
798,18115,1,160,84,1,27
800,15357,1,160,90,4,11
802,18390,1,158,60,3,14
803,16758,1,166,62,3,2
805,20430,2,173,101,3,6
806,16719,1,153,,1,7
807,16216,1,160,82,4,3
809,19586,2,164,59,3,15
810,14824,1,165,80,4,13
811,22564,1,159,60,3,14
812,16488,2,175,95,2,14
813,18382,1,161,87,2,9
815,21281,1,168,78,4,18
816,16034,1,176,96,4,18
817,17420,2,175,88,4,1
818,21974,2,161,71,3,3
819,19734,1,160,76,3,26
820,17487,1,168,72,3,23
821,18131,1,154,55,4,15
822,22574,2,174,74,3,10
823,17528,2,165,60,1,30
826,16543,1,154,87,2,29
829,15291,1,161,73,3,9
830,17434,2,169,73,3,30
831,20606,2,178,95,4,5
833,19692,1,160,57,1,20
836,18935,2,160,63,4,13
837,21102,2,164,58,1,2
838,21430,1,165,78,1,28
839,23281,1,170,95,3,28
840,20280,1,160,91,4,21
841,15378,1,164,79,3,6
842,17612,1,158,59,3,25
843,19010,2,173,77,4,24
844,19669,1,150,65,1,27
845,16037,1,164,70,2,28
846,14705,1,164,125,4,25
847,18441,2,157,60,4,15
848,19126,1,156,73,2,5
851,19734,1,168,69,3,23
855,20339,1,163,66,2,14
856,16654,1,151,70,1,26
857,23493,2,165,79,3,6
859,14489,2,170,97,2,28
860,23296,1,155,65,3,8
864,21154,2,168,91,2,9
866,18158,1,162,76,1,15
869,18911,1,160,,1,26
870,23455,1,157,64,3,12
871,19547,1,169,70,4,25
872,17999,2,178,81,2,1
874,21933,1,163,65,1,24
875,22552,2,160,74,1,10
877,20344,2,165,78,2,11
879,23424,2,161,50,1,4
883,18314,1,167,67,1,24
884,18486,1,161,80,1,28
885,17503,2,167,70,2,4
886,18963,1,165,92,2,30
887,21122,1,163,106,2,5
888,17388,1,166,60,4,20
890,22738,1,151,70,3,17
892,16018,2,166,58,2,5
893,19674,2,170,81,1,26
894,19042,1,165,62,1,22
895,21122,1,162,60,3,22
896,18946,1,153,99,4,4
899,20661,2,168,73,1,10
900,16756,1,158,64,4,25
901,20411,1,161,75,3,20
902,19786,2,184,84,2,23
903,14533,1,168,47,1,14
904,15283,2,178,103,2,26
905,16675,1,160,114,1,3
906,21287,2,174,95,3,26
907,16229,1,160,72,3,7
908,18761,1,158,89,4,18
909,21644,1,160,85,2,26
910,21738,1,165,78,2,23
911,16677,2,174,,3,27
912,21406,1,167,80,2,8
913,20457,2,169,68,2,7
914,18209,1,165,55,2,24
915,23370,1,165,70,3,3
916,23391,1,170,92,4,9
918,18470,1,168,72,1,4
919,17370,2,173,95,3,10
920,19593,1,152,62,4,23
921,23653,1,154,79,1,4
922,17329,1,170,70,1,10
923,20284,1,158,86,1,12
925,22048,1,163,72,3,22
926,18314,2,178,80,4,24
927,21257,1,158,85,1,2
928,18190,1,166,57,2,24
929,19646,1,160,78,3,10
930,15440,2,169,65,2,24
931,18288,2,172,77,2,12
932,21842,1,156,72,4,11
933,21068,1,165,67,1,20
934,15423,1,165,63,4,17
935,20339,2,160,66,1,24
936,20311,1,154,69,4,9
937,23463,2,170,72,4,12
938,18235,1,162,62,3,23
939,18117,1,162,71,2,21
941,15377,1,168,75,3,11
942,19203,1,160,48,3,22
943,18779,1,162,56,4,29
945,20281,1,160,60,1,14
946,21094,2,167,90,2,7
947,16871,2,179,74,2,29
948,18119,1,156,93,1,24
949,20508,1,160,55,4,6
950,23155,2,174,86,3,25
951,21252,2,176,97,3,21
952,16231,1,150,70,4,9
953,15928,2,163,70,3,24
954,23259,2,170,69,1,1
955,19054,1,150,61,3,6
956,15970,1,162,88,2,15
958,18265,2,168,75,1,6
959,14598,2,176,82,2,10
960,14611,1,152,57,4,26
962,17511,2,172,70,1,18
963,20310,1,169,75,3,24
964,14562,2,175,72,3,27
965,21921,1,157,,4,23
966,23320,2,170,89,4,14
968,15282,1,162,78,1,20
969,21221,1,158,94,2,23
970,23391,2,157,71,4,3
972,17053,2,176,79,2,17
973,19676,1,161,91,3,13
974,15878,1,160,95,3,18
977,14650,2,168,68,3,13
978,23638,1,165,60,1,3
979,18816,1,162,68,2,29
980,22542,1,160,55,3,9
982,21101,2,170,90,4,26
983,19687,1,150,55,1,30
984,21802,2,162,62,2,28
986,22615,2,171,108,1,29
987,23475,1,165,68,2,27
988,22469,1,155,69,4,3
989,14648,1,163,71,3,13
990,21901,1,165,70,4,8
991,14549,2,165,85,1,12
992,23393,1,155,62,2,21
995,21143,1,164,61,3,9
996,18085,1,162,72,4,28
997,22547,1,161,93,1,3
999,21250,1,157,,1,30
1000,22446,1,158,65,4,30
1001,16621,1,153,57,4,30
1002,20442,2,169,82,2,4
1003,23168,2,150,56,1,27
1004,22598,1,176,72,3,17
1006,20317,1,154,,3,6
1008,23558,1,159,60,2,2
1010,20219,2,146,45,2,25
1011,19559,1,165,90,2,5
1013,20006,2,167,65,4,21
1014,19054,1,154,70,3,15
1015,23407,2,170,74,2,27
1017,22833,1,150,56,2,9
1018,20465,1,162,88,2,8
1019,21737,2,167,74,3,15
1021,19881,2,167,95,2,25
1022,23587,1,163,103,3,29
1023,17569,1,162,80,1,8
1024,23385,1,151,,3,6
1026,16073,1,161,55,1,30
1027,14647,2,183,91,1,3
1028,14790,2,160,62,4,7
1029,21126,1,164,77,3,6
1031,21382,2,170,71,4,10
1032,21652,2,167,70,3,16
1033,15289,2,169,103,3,5
1034,21163,1,155,83,1,28
1035,16931,2,178,91,2,7
1036,16151,1,169,69,4,28
1037,16808,1,160,77,3,23
1038,18879,2,171,113,2,27
1039,15180,1,151,71,3,12
1040,18996,1,179,129,4,20
1041,21298,1,159,63,1,25
1042,19624,1,170,60,2,4
1043,19681,2,165,72,1,7
1044,19086,1,165,65,4,13
1045,21023,1,170,81,3,30
1046,18152,1,174,94,3,16
1047,17025,2,169,62,4,15
1048,16012,2,162,76,1,22
1049,17460,2,180,96,3,10
1050,19750,1,170,69,2,2
1051,19662,2,183,114,3,28
1052,22801,1,164,79,3,26
1053,19930,2,167,78,4,10
1054,21128,2,168,73,4,18
1055,15978,1,162,86,2,25
1056,22442,1,161,94,1,6
1057,20479,1,166,71,4,28
1058,20927,2,163,96,3,8
1059,22093,1,149,58,3,9
1060,15381,2,160,68,2,13
1062,14668,1,163,95,4,22
1063,19203,1,160,71,4,11
1064,19172,2,174,65,2,23
1065,16542,2,170,96,4,15
1066,18992,2,169,71,2,26
1067,23406,1,151,58,4,26
1069,22723,1,155,58,3,6
1070,14572,1,161,82,4,8
1071,19723,1,156,60,2,18
1073,21103,1,166,,2,17
1074,22760,2,156,64,1,25
1075,16208,2,179,87,3,28
1076,15873,1,147,55,2,25
1077,21276,2,171,86,3,27
1078,19748,1,151,75,2,26
1081,21336,1,174,65,4,20
1082,21970,1,156,78,3,25
1083,16884,2,174,68,4,16
1084,17519,2,170,70,3,4
1085,14539,1,152,72,2,28
1086,23301,1,141,60,1,12
1087,14473,1,173,73,3,9
1092,21292,1,160,90,1,22
1093,18112,2,169,74,4,18
1094,16805,1,160,67,4,7
1098,18946,1,152,124,2,30
1100,19885,1,150,63,3,1
1101,17285,1,167,75,3,2
1102,21890,1,165,80,1,18
1103,20307,1,165,95,1,23
1104,23253,1,158,88,2,4
1106,16003,1,159,77,4,6
1107,22826,1,162,65,1,3
1109,20488,1,176,120,4,12
1110,15174,2,177,75,4,19
1111,23203,2,172,74,2,9
1112,22711,2,171,68,4,10
1113,23222,2,173,90,4,28
1115,21952,1,165,65,4,3
1116,20415,1,165,75,2,30
1118,14525,2,176,87,1,9
1119,15433,2,172,90,2,20
1120,18470,1,167,74,1,30
1121,17317,1,168,68,3,20
1122,20477,1,160,78,2,6
1123,18173,1,164,84,1,28
1124,15925,1,168,84,3,8
1125,15472,2,170,80,4,8
1126,21154,2,169,81,4,28
1127,15393,2,178,79,2,6
1128,20495,1,164,68,2,9
1129,19811,1,163,63,4,29
1130,20388,1,165,65,1,26
1131,19700,2,160,58,4,15
1133,21854,2,175,86,3,28
1134,23194,1,152,64,1,24
1135,19747,2,173,83,2,11
1136,18235,1,156,60,2,13
1137,17449,1,170,64,3,20
1138,21817,2,164,75,2,10
1141,23616,1,156,98,4,22
1143,17405,1,155,79,3,20
1144,19835,1,166,73,2,19
1145,19639,2,163,51,3,15
1147,15977,1,161,88,3,23
1148,16068,2,174,61,4,23
1150,23117,1,147,64,4,19
1152,18873,1,174,86,3,28
1158,15206,2,168,62,2,19
1159,20345,2,167,84,3,23
1160,15324,1,160,65,4,11
1162,22552,1,160,67,1,30
1163,21847,2,167,75,3,8
1164,14635,1,166,105,4,5
1166,19454,1,170,68,4,3
1167,17360,2,172,90,1,6
1168,14659,1,148,42,1,30
1169,16307,2,171,115,2,14
1171,20221,1,160,73,3,2
1172,21297,1,173,88,4,8
1174,20200,1,158,75,2,23
1176,14890,2,165,60,2,4
1177,19783,1,159,65,1,2
1178,19068,1,170,70,1,8
1179,18070,1,166,75,1,14
1180,21232,1,167,75,1,27
1182,15768,2,165,64,3,23
1183,14373,1,169,67,4,21
1184,18787,1,155,86,1,11
1185,23154,1,165,95,1,20
1187,15968,1,162,115,4,2
1189,18187,1,158,69,3,30
1190,21270,1,166,92,4,27
1191,17545,1,156,116,4,24
1192,20370,1,168,80,1,7
1193,18131,1,160,83,1,6
1194,23473,2,164,74,4,1
1195,19671,1,162,75,3,19
1196,23329,1,150,50,3,17
1197,18227,1,167,70,3,22
1198,19797,1,165,68,1,28
1201,16182,2,171,71,4,14
1203,15961,2,170,72,4,19
1204,16882,1,166,100,2,28
1205,18787,1,164,70,3,12
1206,18332,2,160,67,1,18
1207,19640,1,161,63,1,26
1208,20631,1,161,68,4,28
1209,15219,2,172,58,3,3
1210,22149,2,178,107,4,19
1211,19556,2,170,85,2,23
1212,17476,2,174,75,2,28
1213,22900,2,170,78,3,29
1216,19905,1,165,75,3,18
1220,22038,1,156,60,3,4
1221,15207,2,174,105,4,22
1222,16788,1,162,80,1,15
1223,18297,1,165,83,2,12
1225,18287,1,165,65,1,1
1227,23190,2,168,80,1,22
1229,17405,2,170,84,3,3
1231,18296,1,170,59,2,8
1232,15985,2,170,70,1,8
1233,22415,1,169,68,4,14
1235,22571,1,164,66,2,9
1236,22562,1,160,72,3,18
1237,15297,2,170,65,4,26
1238,18856,1,153,69,3,16
1239,21211,1,156,55,2,19
1240,19532,1,160,79,2,30
1242,17493,2,169,73,4,16
1244,23206,1,164,92,4,1
1245,15209,2,160,78,2,14
1246,23363,1,164,74,3,28
1247,21068,2,152,49,2,3
1248,19722,2,167,78,3,3
1250,18018,2,160,85,4,16
1252,16709,1,156,62,1,13
1253,20994,1,156,72,4,30
1254,19614,1,163,63,4,17
1255,19092,1,159,63,3,15
1256,14404,1,166,64,4,11
1257,23606,1,162,62,1,28
1258,21192,1,159,74,4,21
1264,20460,1,159,80,1,15
1266,23350,1,159,60,3,3
1269,20465,2,167,74,4,5
1270,14636,1,172,93,3,3
1271,19113,1,163,65,4,2
1272,18094,1,154,65,3,5
1273,23496,2,160,86,1,1
1274,21978,1,169,65,2,16
1275,22722,2,160,57,3,8
1276,17599,1,164,80,2,30
1277,22649,2,160,67,1,19
1278,19890,2,163,71,3,24
1280,16775,1,179,75,1,3
